label,MAE,RMSE,R2,cv_mean,cv_std
A) Baseline LR,18171.065686449107,32001.254670890245,0.8664880380769715,29994.4877744474,4396.1633216613955
B) +log1p(SalePrice),16362.450998361299,27338.60607526285,0.9025596354118444,28770.575260141737,6400.082616634757
C) +log1p(features skew>1),16096.84728890709,27657.96765692232,0.9002697989305086,28110.48109474491,4715.752084472657
D) +OrdinalEncoder calidad,16207.669879940026,28581.216822279413,0.893500493593516,28600.181118390545,4532.638402605073
E) +HouseAge/YearsSinceRemodel,16207.669879940055,28581.216822279417,0.8935004935935159,28600.181118390512,4532.638402605089
F) Baseline RF,17254.66946510111,27646.9702298286,0.9003490930838345,30434.629425437433,5145.3497963290665
G) RF Final (nuevas features),17211.503949771686,27307.85408671439,0.9027787248314756,30006.68650233144,5023.127303748145
